"axis","gene_set","rank"
"triplet_pairs","expressed_TRUE",1194
"triplet_pairs","expressed_TRUE",1196
"triplet_pairs","expressed_TRUE",1198
"triplet_pairs","expressed_TRUE",1199
"triplet_pairs","expressed_TRUE",1201
"triplet_pairs","expressed_TRUE",1203
"triplet_pairs","expressed_TRUE",1207
"triplet_pairs","expressed_TRUE",1209
"triplet_pairs","expressed_TRUE",1210
"triplet_pairs","expressed_TRUE",1211
"triplet_pairs","expressed_TRUE",1215
"triplet_pairs","expressed_TRUE",1217
"triplet_pairs","expressed_TRUE",1220
"triplet_pairs","expressed_TRUE",1221
"triplet_pairs","expressed_TRUE",1222
"triplet_pairs","expressed_TRUE",1224
"triplet_pairs","expressed_TRUE",1225
"triplet_pairs","expressed_TRUE",1226
"triplet_pairs","expressed_TRUE",1229
"triplet_pairs","expressed_TRUE",1230
"triplet_pairs","expressed_TRUE",1231
"triplet_pairs","expressed_TRUE",1232
"triplet_pairs","expressed_TRUE",1234
"triplet_pairs","expressed_TRUE",1235
"triplet_pairs","expressed_TRUE",1236
"triplet_pairs","expressed_TRUE",1237
"triplet_pairs","expressed_TRUE",1238
"triplet_pairs","expressed_TRUE",1239
"triplet_pairs","expressed_TRUE",1244
"triplet_pairs","expressed_TRUE",1249
"triplet_pairs","expressed_TRUE",1253
"triplet_pairs","expressed_TRUE",1255
"triplet_pairs","expressed_TRUE",1257
"triplet_pairs","expressed_TRUE",1261
"triplet_pairs","expressed_TRUE",1263
"triplet_pairs","expressed_TRUE",1264
"triplet_pairs","expressed_TRUE",1268
"triplet_pairs","expressed_TRUE",1269
"triplet_pairs","expressed_TRUE",1271
"triplet_pairs","expressed_TRUE",1274
"triplet_pairs","expressed_TRUE",1275
"triplet_pairs","expressed_TRUE",1277
"triplet_pairs","expressed_TRUE",1279
"triplet_pairs","expressed_TRUE",1280
"triplet_pairs","expressed_TRUE",1281
"triplet_pairs","expressed_TRUE",1283
"triplet_pairs","expressed_TRUE",1284
"triplet_pairs","expressed_TRUE",1287
"triplet_pairs","expressed_TRUE",1288
"triplet_pairs","expressed_TRUE",1293
"triplet_pairs","expressed_TRUE",1298
"triplet_pairs","expressed_TRUE",1299
"triplet_pairs","expressed_TRUE",1301
"triplet_pairs","expressed_TRUE",1303
"triplet_pairs","expressed_TRUE",1304
"triplet_pairs","expressed_TRUE",1311
"triplet_pairs","expressed_TRUE",1313
"triplet_pairs","expressed_TRUE",1315
"triplet_pairs","expressed_TRUE",1322
"triplet_pairs","expressed_TRUE",1323
"triplet_pairs","expressed_TRUE",1324
"triplet_pairs","expressed_TRUE",1327
"triplet_pairs","expressed_TRUE",1332
"triplet_pairs","expressed_TRUE",1333
"triplet_pairs","expressed_TRUE",1337
"triplet_pairs","expressed_TRUE",1344
"triplet_pairs","expressed_TRUE",1348
"triplet_pairs","expressed_TRUE",1349
"triplet_pairs","expressed_TRUE",1351
"triplet_pairs","expressed_TRUE",1352
"triplet_pairs","expressed_TRUE",1354
"triplet_pairs","expressed_TRUE",1355
"triplet_pairs","expressed_TRUE",1360
"triplet_pairs","expressed_TRUE",1363
"triplet_pairs","expressed_TRUE",1365
"triplet_pairs","expressed_TRUE",1370
"triplet_pairs","expressed_TRUE",1372
"triplet_pairs","expressed_TRUE",1373
"triplet_pairs","expressed_TRUE",1374
"triplet_pairs","expressed_TRUE",1379
"triplet_pairs","expressed_TRUE",1381
"triplet_pairs","expressed_TRUE",1382
"triplet_pairs","expressed_TRUE",1383
"triplet_pairs","expressed_TRUE",1384
"triplet_pairs","expressed_TRUE",1391
"triplet_pairs","expressed_TRUE",1393
"triplet_pairs","expressed_TRUE",1397
"triplet_pairs","expressed_TRUE",1400
"triplet_pairs","expressed_TRUE",1408
"triplet_pairs","expressed_TRUE",1410
"triplet_pairs","expressed_TRUE",1412
"triplet_pairs","expressed_TRUE",1413
"triplet_pairs","expressed_TRUE",1414
"triplet_pairs","expressed_TRUE",1415
"triplet_pairs","expressed_TRUE",1417
"triplet_pairs","expressed_TRUE",1419
"triplet_pairs","expressed_TRUE",1420
"triplet_pairs","expressed_TRUE",1422
"triplet_pairs","expressed_TRUE",1423
"triplet_pairs","expressed_TRUE",1429
"triplet_pairs","expressed_TRUE",1430
"triplet_pairs","expressed_TRUE",1434
"triplet_pairs","expressed_TRUE",1437
"triplet_pairs","expressed_TRUE",1438
