label	motif	max_TF_exp	ATAC_enhancer_var	ATAC_promoter_var	RNA_enhancer_var	RNA_promoter_var	ATAC_enhancer_padj	ATAC_promoter_padj	RNA_enhancer_padj	RNA_promoter_padj	var_ATAC_enhancer	var_RNA_enhancer	var_ATAC_promoter	var_RNA_promoter	ATAC_enhancer_corr	ATAC_promoter_corr	RNA_enhancer_corr	RNA_promoter_corr	varNcorr05_ATAC_enhancer	varNcorr05_ATAC_promoter	varNcorr05_RNA_enhancer	varNcorr05_RNA_promoter	motifID	TF_symbol	motifName	TF_activator	TF_repressor	TF_pioneer	TF_closer	ATAC+	ATAC-	RNA+	RNA-
MA0089.3_MAFG::NFE2L1_TF1	MA0089.3_MAFG::NFE2L1	0.369510065255025	4.5088533931261	1.55373210207926	1.99663707978949	0.496897060502906	0	2.88881912271978e-47	4.08322680926792e-137	1	yes	yes	no	no	0.513852423214013	-0.0741799342089349	0.600013632385064	0.121446999413631	yes	no	yes	no	MA0089.3	MAFG	MAFG::NFE2L1	Yes	Yes	No	Yes	Yes	No	Yes	No
MA0090.4_TEAD1	MA0090.4_TEAD1	0.465532723212063	4.58897092347802	4.45391157118973	1.52402043964438	1.01928225487888	0	0	3.47543328101946e-42	0.960987416162326	yes	yes	yes	no	0.722597968231011	0.508929410173868	0.494808077990441	0.642623862292655	yes	yes	no	no	MA0090.4	TEAD1	TEAD1	Yes	No	Yes	No	Yes	No	No	No
MA0095.4_Yy1	MA0095.4_Yy1	0.70486096482291	3.45921591122253	1.48541570658	0.917331039842601	0.449079162843247	0	2.89185461917776e-37	1	1	yes	no	no	no	0.746165425486287	-0.47880742151776	0.443136399261922	-0.0801665308770885	yes	no	no	no	MA0095.4	YY1	Yy1	Yes	Yes	No	No	Yes	No	No	No
MA0098.4_ETS1	MA0098.4_ETS1	0.148443480793429	1.40097281250654	3.6839957391798	0.661557751732947	1.04639293425805	1.4621863369576e-26	0	1	0.342796363963	no	no	yes	no	0.628200097697032	-0.884466579291853	-0.577512035270354	0.762575116320529	no	yes	no	no	MA0098.4	ETS1	ETS1	No	No	No	No	No	Yes	No	No
MA0099.4_FOS::JUN_TF2	MA0099.4_FOS::JUN	1.50328064989062	7.21043545151197	1.97022485197904	1.54385582141606	1.21785255592293	0	2.07856251122123e-131	3.64734218627103e-45	1.09441131476541e-08	yes	yes	yes	yes	0.677559982677297	0.391719953967432	0.464775583224458	0.767999784041972	yes	no	no	yes	MA0099.4	JUN	FOS::JUN	Yes	Yes	No	No	Yes	No	Yes	No
MA0103.4_ZEB1	MA0103.4_ZEB1	1.07722382203122	7.30669265214871	6.46760553461775	2.52625533215637	0.97296264423033	0	0	7.85797994270284e-300	1	yes	yes	yes	no	-0.861660307803037	-0.860136798607147	-0.772824666006064	0.233386390289911	yes	yes	yes	no	MA0103.4	ZEB1	ZEB1	No	Yes	No	No	No	Yes	No	Yes
MA0104.5_MYCN	MA0104.5_MYCN	0.347101794331299	1.21732646942753	1.87073141284176	0.999108120189461	1.15233103349987	2.20880817255763e-09	8.15797890339696e-108	1	7.7344432714523e-05	no	no	yes	yes	-0.353958573605724	0.709249124829103	0.644569788155503	0.661700851605088	no	yes	no	yes	MA0104.5	MYCN	MYCN	No	No	No	No	Yes	No	Yes	No
MA0107.1_RELA	MA0107.1_RELA	0.39155095581059	3.95036051327286	1.61291193410731	1.08853007265276	1.32103351029141	0	7.88807182931506e-57	0.0211829828700216	4.62906243512592e-17	yes	no	no	yes	-0.564074576158832	-0.484775024453506	-0.47653504820136	-0.129214520119662	yes	no	no	no	MA0107.1	RELA	RELA	Yes	Yes	No	No	No	Yes	No	No
MA0116.1_Znf423	MA0116.1_Znf423	0.349334752230033	1.52468002418388	2.04950321687229	0.957838616391638	0.550959703640701	5.53309068598957e-43	1.00710154825189e-151	1	1	no	no	yes	no	0.70588258265425	-0.815059144244353	0.426503439531706	-0.311847634756938	no	yes	no	no	MA0116.1	ZNF423	Znf423	Yes	Yes	No	No	No	Yes	No	No
MA0117.3_Mafb	MA0117.3_Mafb	1.30897261254167	3.58014071554128	1.20813207344917	1.6464759175734	1.08434820536613	0	1.00895330284762e-08	5.97748351983619e-62	0.0402799257883007	yes	yes	no	no	0.81720081488281	0.20346333124544	-0.387773924150027	0.879917231627775	yes	no	no	no	MA0117.3	MAFB	Mafb	Yes	Yes	No	No	Yes	No	No	No
